Student ID,Program,Start Date,Term Code,Status,Tuition,Term Expected,Total Expected,Credits,Price per Credit,Semester Price,Overall Enrollment Credits,Overall Price,Remaining Need,Link
101082400,AASDF_ONL,2024-05-06,01/2025JAN RA,C,7264.0,8894.0,34055.0,16.0,454.0,7264.0,64.0,29056.0,-4999.0,https://mediatechcloud.com/index.php?name=101082400
101082400,AASDF,2024-05-06,01/2025JAN RA,X,7264.0,8894.0,34055.0,16.0,550.0,8800.0,64.0,35200.0,1145.0,https://mediatechcloud.com/index.php?name=101082400
108242160,AASDF,2024-05-06,01/2025JAN RA,C,9350.0,8893.0,26400.0,17.0,550.0,9350.0,64.0,35200.0,8800.0,https://mediatechcloud.com/index.php?name=108242160
108242160,AASDF,2024-01-08,01/2025JAN RA,X,9350.0,8893.0,31101.0,17.0,550.0,9350.0,64.0,35200.0,4099.0,https://mediatechcloud.com/index.php?name=108242160
171674846,AASRA,2025-01-06,01/2025JAN RA,C,8250.0,0.0,0.0,15.0,550.0,8250.0,64.0,35200.0,35200.0,https://mediatechcloud.com/index.php?name=171674846
171674846,AASRA,2023-08-28,01/2025JAN RA,X,8250.0,0.0,26399.0,15.0,550.0,8250.0,64.0,35200.0,8801.0,https://mediatechcloud.com/index.php?name=171674846
229161048,RA15,2025-01-06,01/2025JAN RA,C,5448.0,0.0,0.0,12.0,550.0,6600.0,54.0,29700.0,29700.0,https://mediatechcloud.com/index.php?name=229161048
229161048,RA15,2024-01-08,01/2025JAN RA,X,5448.0,0.0,23100.0,12.0,550.0,6600.0,54.0,29700.0,6600.0,https://mediatechcloud.com/index.php?name=229161048
233804982,AASRA-ONL,2024-05-06,01/2025JAN RA,C,7264.0,7264.0,32509.0,16.0,454.0,7264.0,64.0,29056.0,-3453.0,https://mediatechcloud.com/index.php?name=233804982
233804982,AASRA-ONL,2024-05-06,01/2025JAN RA,X,7264.0,7264.0,32509.0,16.0,454.0,7264.0,64.0,29056.0,-3453.0,https://mediatechcloud.com/index.php?name=233804982
308847738,AASRA-ONL,2024-05-06,01/2025JAN RA,C,No Tuition,-3638.0,32055.0,13.0,454.0,5902.0,64.0,29056.0,-2999.0,https://mediatechcloud.com/index.php?name=308847738
308847738,AASRA-ONL,2024-05-06,01/2025JAN RA,X,No Tuition,-3638.0,32055.0,13.0,454.0,5902.0,64.0,29056.0,-2999.0,https://mediatechcloud.com/index.php?name=308847738
